target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction,Category
ENSMUST00000072438.12,ENSMUSG00000030483,Cyp2b10,Cyp2b10-002,51.50100774263356,4.7824200615242713e-11,Up,NA
ENSMUST00000040828.5,ENSMUSG00000073421,H2-Ab1,H2-Ab1-001,0.12569725307855303,4.7824200615242713e-11,Down,NA
ENSMUST00000074557.9,ENSMUSG00000060586,H2-Eb1,H2-Eb1-001,0.15916989640495513,5.1520235195016334e-11,Down,NA
ENSMUST00000050487.14,ENSMUSG00000024610,Cd74,Cd74-201,0.16939045729709934,5.262471306315764e-11,Down,NA
ENSMUST00000171470.7,ENSMUSG00000024529,Lox,Lox-202,3.4716224435323886,5.262471306315764e-11,Up,NA
ENSMUST00000091309.11,ENSMUSG00000003617,Cp,Cp-001,4.522046976242067,5.262471306315764e-11,Up,NA
ENSMUST00000113093.4,ENSMUSG00000029417,Cxcl9,Cxcl9-001,0.34604916964387783,5.262471306315764e-11,Down,NA
ENSMUST00000105910.1,ENSMUSG00000028865,Cd164l2,Cd164l2-001,13.287988498999695,5.262471306315764e-11,Up,NA
ENSMUST00000079413.9,ENSMUSG00000024222,Fkbp5,Fkbp5-001,14.881712867665064,1.0323132419891587e-10,Up,NA
ENSMUST00000034562.8,ENSMUSG00000032060,Cryab,Cryab-201,4.932745908592297,1.1190615832857339e-10,Up,NA
ENSMUST00000040655.12,ENSMUSG00000036594,H2-Aa,H2-Aa-001,0.16474549800591232,1.3657472448082558e-10,Down,NA
ENSMUST00000048790.6,ENSMUSG00000033361,Prrg3,Prrg3-001,3.8924872777036885,1.6412811227137221e-10,Up,NA
ENSMUST00000204617.2,ENSMUSG00000009394,Syn2,Syn2-003,7.723883286037981,1.9580490108834588e-10,Up,NA
ENSMUST00000106373.7,ENSMUSG00000030711,Sult1a1,Sult1a1-001,3.873507037682547,3.3101435301183727e-10,Up,NA
ENSMUST00000019386.9,ENSMUSG00000005251,Ripk4,Ripk4-001,6.429619713244654,4.280246243341683e-10,Up,NA
ENSMUST00000112866.7,ENSMUSG00000061353,Cxcl12,Cxcl12-001,0.3812768798968177,7.05007222651806e-10,Down,NA
ENSMUST00000016338.14,ENSMUSG00000016194,Hsd11b1,Hsd11b1-002,6.337777911410822,7.05007222651806e-10,Up,Lipid metabolism
ENSMUST00000033739.4,ENSMUSG00000031373,Car5b,Car5b-001,3.630646708993431,7.123952098936423e-10,Up,NA
ENSMUST00000028307.8,ENSMUSG00000026938,Fcna,Fcna-001,9.521736265321914,1.0951408506462626e-9,Up,NA
ENSMUST00000110689.4,ENSMUSG00000079105,C7,C7-201,4.354658524696756,1.9800997697759373e-9,Up,NA
