target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction
ENSMUST00000040828.5,ENSMUSG00000073421,H2-Ab1,H2-Ab1-001,0.12569725307855303,4.7824200615242713e-11,Down
ENSMUST00000074557.9,ENSMUSG00000060586,H2-Eb1,H2-Eb1-001,0.15916989640495513,5.1520235195016334e-11,Down
ENSMUST00000050487.14,ENSMUSG00000024610,Cd74,Cd74-201,0.16939045729709934,5.262471306315764e-11,Down
ENSMUST00000113093.4,ENSMUSG00000029417,Cxcl9,Cxcl9-001,0.34604916964387783,5.262471306315764e-11,Down
ENSMUST00000040655.12,ENSMUSG00000036594,H2-Aa,H2-Aa-001,0.16474549800591232,1.3657472448082558e-10,Down
ENSMUST00000112866.7,ENSMUSG00000061353,Cxcl12,Cxcl12-001,0.3812768798968177,7.05007222651806e-10,Down
ENSMUST00000034472.15,ENSMUSG00000031990,Jam3,Jam3-201,0.42376611031257344,4.529243424667273e-9,Down
ENSMUST00000010451.7,ENSMUSG00000010307,Tmem86a,Tmem86a-201,0.30659800982470187,4.730061746369085e-9,Down
ENSMUST00000057019.8,ENSMUSG00000044338,Aplnr,Aplnr-001,0.09010558450019658,8.706876886269715e-9,Down
ENSMUST00000047883.10,ENSMUSG00000037031,Tspan15,Tspan15-201,0.5196191645549093,8.706876886269715e-9,Down
ENSMUST00000024660.8,ENSMUSG00000023886,Smoc2,Smoc2-201,0.43194579958867707,1.0503720344355216e-8,Down
ENSMUST00000068411.4,ENSMUSG00000021182,Ccdc88c,Ccdc88c-201,0.46163220819671374,1.327535454544309e-8,Down
ENSMUST00000014917.7,ENSMUSG00000014773,Dll1,Dll1-001,0.2819190211557676,1.327535454544309e-8,Down
ENSMUST00000090070.5,ENSMUSG00000054435,Gimap4,Gimap4-006,0.49094825011110127,2.1923933273627982e-8,Down
ENSMUST00000039413.14,ENSMUSG00000032177,Pde4a,Pde4a-001,0.5433934159946141,2.924366549733051e-8,Down
ENSMUST00000031249.7,ENSMUSG00000029309,Sparcl1,Sparcl1-001,0.5637471304881577,2.9267483137930503e-8,Down
ENSMUST00000038160.5,ENSMUSG00000036446,Lum,Lum-201,0.3691212763340687,4.5074807603135726e-8,Down
ENSMUST00000189474.6,ENSMUSG00000090272,Mndal,Mndal-002,0.35796704928043394,6.75992250678955e-8,Down
ENSMUST00000121175.7,ENSMUSG00000040488,Ltbp4,Ltbp4-002,0.4534274589699735,7.099570835269268e-8,Down
ENSMUST00000037246.5,ENSMUSG00000034108,Ccs,Ccs-201,0.5777007181772158,7.47904760498376e-8,Down
ENSMUST00000130287.1,ENSMUSG00000031147,Magix,Magix-002,0.27781600996235034,7.891606047428461e-8,Down
ENSMUST00000102826.3,ENSMUSG00000045932,Ifit2,Ifit2-001,0.41723511385938433,8.220162488593862e-8,Down
ENSMUST00000010795.4,ENSMUSG00000010651,Acaa1b,Acaa1b-001,0.2489517611706941,8.242376758882588e-8,Down
ENSMUST00000030551.10,ENSMUSG00000028766,Alpl,Alpl-001,0.48604726061066783,8.251997801450116e-8,Down
ENSMUST00000090986.10,ENSMUSG00000015852,Fcrls,Fcrls-001,0.21115001389325297,1.1174492027680654e-7,Down
ENSMUST00000066912.11,ENSMUSG00000054072,Iigp1,Iigp1-202,0.2981706316075183,1.3117157001969654e-7,Down
ENSMUST00000044311.8,ENSMUSG00000032649,Colgalt2,Colgalt2-001,0.3588832569234159,1.3117157001969654e-7,Down
ENSMUST00000092584.5,ENSMUSG00000069662,Marcks,Marcks-001,0.5971823790131988,1.3508446733928883e-7,Down
ENSMUST00000196204.4,ENSMUSG00000079363,Gbp4,Gbp4-003,0.26547757389964954,1.3832563085986446e-7,Down
ENSMUST00000221174.1,NA,NA,NA,0.1822392844111497,1.7764840842917344e-7,Down
ENSMUST00000034187.8,ENSMUSG00000031740,Mmp2,Mmp2-201,0.4463569025750281,1.7908039418042518e-7,Down
ENSMUST00000126787.1,ENSMUSG00000027111,Itga6,Itga6-005,0.5048215350172491,1.9002837557477038e-7,Down
