target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000218034.1,NA,NA,NA,0.2699540018868981,-1.2956330643236362,9.551324966351045e-8,1.55022934711662e-29,Down
ENSMUST00000173975.1,ENSMUSG00000035929,H2-Q4,H2-Q4-002,0.30441955287013517,-1.186685384159259,2.5060538151843776e-7,7.768283100754842e-26,Down
ENSMUST00000089465.5,ENSMUSG00000050014,Apol10b,Apol10b-001,0.37073195217417804,-0.9976014092270914,6.413930285297215e-7,1.1133192884463637e-14,Down
ENSMUST00000174699.7,ENSMUSG00000073409,H2-Q6,H2-Q6-001,0.2752862344709076,-1.3088510582222952,6.413930285297215e-7,2.9869266150133216e-21,Down
ENSMUST00000040828.5,ENSMUSG00000073421,H2-Ab1,H2-Ab1-001,0.25451386141553894,-1.3751575889460066,7.536164508094588e-7,5.228977896954728e-20,Down
ENSMUST00000173788.1,ENSMUSG00000060550,H2-Q7,H2-Q7-003,0.3470800547426172,-1.0585149944316647,1.0563318432572278e-6,5.863647195338424e-19,Down
ENSMUST00000074557.9,ENSMUSG00000060586,H2-Eb1,H2-Eb1-001,0.24874434693703362,-1.4047250051483846,1.24176622275149e-6,1.987149091671868e-18,Down
ENSMUST00000025196.8,ENSMUSG00000024338,Psmb8,Psmb8-001,0.3464703831200861,-1.0487107118391474,1.287303873749932e-6,3.028477986312061e-18,Down
ENSMUST00000130287.1,ENSMUSG00000031147,Magix,Magix-002,0.27290126175678653,-1.3177722300292776,1.3317718930470483e-6,2.6152543273463187e-12,Down
ENSMUST00000112871.7,ENSMUSG00000061353,Cxcl12,Cxcl12-002,0.2782518487671862,-1.241066755519694,2.401261446152457e-6,1.8160822312535785e-16,Down
ENSMUST00000068063.3,ENSMUSG00000078922,Tgtp1,Tgtp1-001,0.25493665666930687,-1.3572497351431851,2.401261446152457e-6,1.8109979758040853e-16,Down
ENSMUST00000057019.8,ENSMUSG00000044338,Aplnr,Aplnr-001,0.11813560460182111,-2.2378661569490195,2.535069286086817e-6,3.1423975377505757e-16,Down
ENSMUST00000038257.6,ENSMUSG00000033318,Gstt2,Gstt2-201,0.2593531941585389,-1.3047755686864702,2.8274753493244457e-6,6.158628390537022e-16,Down
ENSMUST00000046383.11,ENSMUSG00000039304,Tnfsf10,Tnfsf10-001,0.4135673927542079,-0.8732334949404641,3.109541784121837e-6,1.011448931504484e-15,Down
ENSMUST00000023612.15,ENSMUSG00000022895,Ets2,Ets2-001,0.4891928423700393,-0.6876557141550509,3.4926717726907936e-6,2.3151191634966104e-15,Down
ENSMUST00000049184.8,ENSMUSG00000034911,Ushbp1,Ushbp1-201,0.3478388353541685,-1.0073021117247827,4.302725170589432e-6,8.77266711864412e-15,Down
ENSMUST00000066994.6,ENSMUSG00000034522,Zfp395,Zfp395-201,0.5589841191017937,-0.5618396195524454,4.302725170589432e-6,9.866408528248281e-11,Down
ENSMUST00000174839.1,ENSMUSG00000067212,H2-T23,H2-T23-002,0.45501892546652667,-0.7958516083182802,8.203496215352397e-6,2.0726335946795578e-9,Down
ENSMUST00000139467.7,ENSMUSG00000042672,Dcst1,Dcst1-004,0.30973957649250466,-1.1260650824400653,8.283721475488918e-6,2.078643845784848e-13,Down
