TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	2174	597	9969	3145	14683	0.0275	60049	0.0241	49.823	5.791
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.820	1990	781	9086	4028	12028	0.0225	49102	0.0197	45.627	5.437
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	2477	294	11627	1487	31181	0.035	132138	0.0319	40.804	1.955
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	2564	207	11979	1135	35510	0.0398	151442	0.0365	40.661	3.834
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	1587	1184	7066	6048	5055	0.0132	20368	0.0115	38.357	7.422
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.650	0.609	1762	1009	7892	5222	5667	0.0148	23317	0.0131	34.698	7.732
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.400	0.588	2085	686	9820	3294	12320	0.023	52337	0.021	32.061	1.037
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	1798	973	8273	4841	6679	0.0125	27744	0.0112	29.324	3.259
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	1238	1533	5315	7799	2757	0.00619	11066	0.00534	26.848	10.351
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	2509	262	11841	1273	28286	0.0317	123412	0.0298	26.632	1.031
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	1063	1708	4565	8549	2014	0.00565	8061	0.00486	26.142	8.422
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	1629	1142	7360	5754	4617	0.0104	19241	0.00928	25.913	5.234
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	993	1778	4178	8936	1765	0.00495	7067	0.00426	24.404	10.413
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	1400	1371	6239	6875	3229	0.00604	13430	0.0054	20.100	5.971
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	1412	1359	6175	6939	3195	0.00597	13284	0.00534	20.055	9.066
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	2194	577	10194	2920	10650	0.0159	46650	0.015	17.564	2.999
Esrrb	MA0141.1	Zinc-coordinating      	Hormone-nuclear Receptor	vertebrates	12.806	0.524	1696	1075	7750	5364	4651	0.0104	20102	0.0097	17.354	3.868
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	2209	562	10157	2957	10319	0.0212	45615	0.0202	17.216	5.380
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	286	2485	1110	12004	342	0.00128	1306	0.00105	16.314	6.765
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.740	0.657	1773	998	8151	4963	6290	0.00941	27236	0.00876	16.055	3.300
CTCF	MA0139.1	Zinc-coordinating 	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	524	2247	2194	10920	650	0.00231	2617	0.002	16.030	5.714
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	1200	1571	5195	7919	2247	0.00462	9446	0.00418	15.889	8.628
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	443	2328	1776	11338	530	0.00178	2106	0.00152	15.372	7.625
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	1113	1658	4996	8118	2022	0.00491	8555	0.00447	15.342	3.806
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	2119	652	9796	3318	9124	0.0171	40384	0.0162	15.015	3.644
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	2116	655	9807	3307	9016	0.0169	39990	0.0161	14.288	3.169
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.510	2521	250	11869	1245	26286	0.0295	118123	0.0285	13.755	1.463
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	907	1864	4021	9093	1524	0.00342	6405	0.00309	13.694	4.053
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	1535	1236	7063	6051	3578	0.00736	15533	0.00687	13.670	2.619
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	1322	1449	6005	7109	2974	0.00556	12785	0.00514	13.567	3.366
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	615	2156	2618	10496	846	0.00174	3426	0.00152	13.347	5.384
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	602	2169	2571	10543	924	0.0019	3769	0.00167	13.220	5.061
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	1036	1735	4552	8562	1872	0.00385	7989	0.00353	12.330	5.517
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	2103	668	9754	3360	9530	0.0143	42436	0.0137	12.031	2.997
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	260	2511	1029	12085	293	0.000931	1151	0.000787	11.911	5.409
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	21	2750	56	13058	21	7.85e-05	56	4.5e-05	11.510	3.874
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	1315	1456	5983	7131	2665	0.00498	11620	0.00467	10.521	3.190
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	286	2485	1173	11941	342	0.000895	1367	0.000769	10.473	4.325
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.290	0.643	1534	1237	7041	6073	3779	0.00495	16521	0.00465	10.050	2.865
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	72	2699	268	12846	76	0.000284	274	0.00022	9.933	3.180
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	1680	1091	7670	5444	4559	0.00852	20273	0.00815	9.570	3.933
