TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.270	0.218	2389	187	11726	1388	29334	0.0383	121567	0.0342	52.520	16.573
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	2286	290	11313	1801	23637	0.0265	97486	0.0235	45.248	8.017
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	2399	177	12005	1109	30210	0.0451	128788	0.0414	42.976	5.636
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	2209	367	10674	2440	15617	0.0262	64764	0.0234	42.956	17.046
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	1811	765	8435	4679	7192	0.0161	29128	0.0141	40.512	19.920
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.040	0.194	2246	330	10932	2182	20081	0.0225	83161	0.0201	40.189	14.678
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	1882	694	8807	4307	7686	0.0172	31428	0.0152	38.970	20.268
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	2023	553	9621	3493	11018	0.0144	44618	0.0126	38.303	18.020
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	2192	384	10531	2583	17277	0.0161	70756	0.0142	37.233	19.411
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	2002	574	9594	3520	10814	0.0141	44720	0.0126	32.129	14.326
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	2014	562	9651	3463	9897	0.0148	41426	0.0133	29.439	14.646
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	2054	522	9866	3248	9996	0.0205	42581	0.0188	28.910	14.748
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.260	2035	541	9668	3446	11087	0.0166	46798	0.0151	28.665	18.874
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.070	0.202	1306	1270	5836	7278	3299	0.00678	13221	0.00585	28.179	19.184
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	1660	916	7737	5377	5187	0.0145	21794	0.0131	28.111	15.903
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	1832	744	8667	4447	6758	0.0151	28547	0.0138	27.174	14.964
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	899	1677	3749	9365	1742	0.00423	6807	0.00356	26.055	22.715
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	2075	501	10079	3035	10948	0.0164	46817	0.0151	24.598	10.920
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	1936	640	9186	3928	7949	0.0134	33904	0.0123	22.901	16.430
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	669	1907	2808	10306	1089	0.00244	4185	0.00202	21.691	15.032
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	1087	1489	4926	8188	2294	0.00428	9441	0.0038	18.338	12.043
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	484	2092	1939	11175	653	0.00171	2505	0.00141	18.306	15.094
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	1060	1516	4818	8296	2239	0.0046	9369	0.00414	16.388	11.163
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	885	1691	3927	9187	1474	0.0033	6113	0.00295	15.071	12.036
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.470	0.391	2017	559	9818	3296	9473	0.0177	41930	0.0169	14.901	9.189
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	608	1968	2617	10497	849	0.00222	3482	0.00196	13.564	10.820
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	1821	755	8697	4417	6397	0.0108	28332	0.0103	11.430	11.790
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.310	654	1922	2781	10333	947	0.00212	3960	0.00191	11.189	13.085
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	661	1915	2903	10211	975	0.00255	4134	0.00233	10.643	9.676
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.280	305	2271	1270	11844	371	0.00097	1487	0.000837	10.619	7.404
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	480	2096	2096	11018	685	0.00192	2885	0.00174	9.911	7.460
Gata1	MA0035.2	Zinc-coordinating 	GATA	vertebrates	10.878	0.373	2105	471	10375	2739	11517	0.0237	52147	0.0231	9.116	6.592
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	2061	515	10090	3024	9986	0.0168	45038	0.0163	8.836	8.049
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	975	1601	4512	8602	1750	0.00392	7714	0.00372	7.567	7.683
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	1080	1496	5027	8087	2048	0.00268	8931	0.00251	7.537	7.945
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	2310	266	11474	1640	17887	0.0234	81421	0.0229	7.159	6.987
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	419	2157	1891	11223	559	0.00157	2436	0.00147	5.823	4.710
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	18	2558	66	13048	18	0.000101	66	7.96e-05	5.479	1.983
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	916	1660	4279	8835	1507	0.0031	6753	0.00299	4.599	6.138
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	384	2192	1767	11347	485	0.00163	2151	0.00156	4.298	3.525
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	199	2377	842	12272	215	0.000562	926	0.000521	4.125	4.674
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	2165	411	10703	2411	13753	0.018	63057	0.0177	3.999	6.411
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	867	1709	4029	9085	1394	0.00312	6319	0.00305	3.128	6.288
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	24	2552	95	13019	24	7.62e-05	96	6.56e-05	2.991	1.820
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	977	1599	4629	8485	1596	0.00447	7286	0.00439	2.649	5.126
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.190	0.424	1375	1201	6600	6514	3067	0.00573	14030	0.00564	2.642	6.000
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	87	2489	398	12716	96	0.000394	422	0.000373	2.513	1.634
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	3	2573	10	13104	3	1.12e-05	10	8.04e-06	2.504	1.015
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	145	2431	647	12467	156	0.00035	700	0.000338	1.474	2.544
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	130	2446	587	12527	134	0.00045	607	0.000439	1.211	2.181
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	162	2414	750	12364	180	0.000471	819	0.000461	1.016	1.969
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.610	337	2239	1556	11558	391	0.00073	1797	0.000723	0.642	3.091
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	2247	329	11047	2067	14624	0.0246	67822	0.0245	0.490	9.927
Tal1::Gata1	MA0140.1	Zipper-Type 	Helix-Loop-Helix	vertebrates	11.297	0.451	948	1628	4647	8467	1628	0.00547	7609	0.00551	-1.105	2.334
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	613	1963	2912	10202	822	0.00215	3861	0.00217	-1.227	3.190
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	69	2507	339	12775	69	0.000193	346	0.000209	-2.486	0.883
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	1417	1159	6887	6227	3089	0.00461	14593	0.00469	-2.703	4.524
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	288	2288	1376	11738	330	0.000678	1607	0.000711	-2.870	1.843
