TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.820	1445	490	10055	4742	9439	0.0216	53572	0.0197	28.125	21.188
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	1567	368	11072	3725	11374	0.026	65479	0.0241	26.083	20.967
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	1747	188	12971	1826	24828	0.034	144740	0.0319	25.039	7.916
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.400	0.588	1522	413	10870	3927	9875	0.0226	57196	0.021	22.334	14.868
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	945	990	5853	8944	2224	0.0061	12081	0.00533	22.038	32.930
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	1188	747	7739	7058	3888	0.0124	22075	0.0114	21.179	31.494
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	1325	610	9152	5645	5289	0.0121	30376	0.0112	18.219	18.916
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	1793	142	13382	1415	27745	0.038	165795	0.0366	16.250	7.318
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.650	0.609	1272	663	8725	6072	4351	0.0139	25532	0.0131	14.226	19.129
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	209	1726	1132	13665	251	0.000975	1265	0.00079	13.701	12.954
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	784	1151	5041	9756	1550	0.00531	8846	0.00488	13.005	17.908
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	1046	889	6836	7961	2535	0.00579	14648	0.00538	11.602	23.821
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	468	1467	2824	11973	756	0.0019	4161	0.00168	11.074	15.927
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.060	0.466	1800	135	13365	1432	22242	0.0356	134690	0.0347	10.358	10.046
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	124	1811	645	14152	131	0.000539	667	0.000441	9.680	9.613
