TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.270	0.218	2328	236	13097	1700	24892	0.0357	133029	0.0342	17.705	8.100
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	1950	614	10690	4107	9353	0.0134	48651	0.0125	17.698	10.438
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	1724	840	9364	5433	6061	0.0149	31841	0.014	15.977	9.731
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	1804	760	9772	5025	6535	0.0161	34408	0.0152	15.968	11.640
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.040	0.194	2176	388	12182	2615	17177	0.0211	91138	0.0201	15.858	7.115
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	2109	455	11742	3055	14693	0.015	77555	0.0143	14.765	7.959
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	2265	299	12611	2186	19932	0.0245	106713	0.0235	13.958	11.283
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	2374	190	13424	1373	26092	0.0427	141103	0.0415	13.925	6.867
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	1017	1547	5298	9499	2005	0.00452	10202	0.00412	13.508	9.181
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	21	2543	69	14728	21	0.000129	69	7.61e-05	13.385	3.900
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	390	2174	1915	12882	480	0.00177	2328	0.00154	12.909	6.775
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	2126	438	11867	2930	13136	0.0242	70676	0.0234	12.160	7.370
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	785	1779	4137	10660	1443	0.00384	7442	0.00356	10.603	5.719
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	1867	697	10157	4640	6949	0.0128	37126	0.0123	10.563	11.415
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.260	1951	613	10739	4058	9560	0.0157	51285	0.0151	10.558	9.206
