target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction,Category
ENSMUST00000072438.12,ENSMUSG00000030483,Cyp2b10,Cyp2b10-002,51.50100774263356,4.7824200615242713e-11,Up,NA
ENSMUST00000171470.7,ENSMUSG00000024529,Lox,Lox-202,3.4716224435323886,5.262471306315764e-11,Up,NA
ENSMUST00000091309.11,ENSMUSG00000003617,Cp,Cp-001,4.522046976242067,5.262471306315764e-11,Up,NA
ENSMUST00000105910.1,ENSMUSG00000028865,Cd164l2,Cd164l2-001,13.287988498999695,5.262471306315764e-11,Up,NA
ENSMUST00000079413.9,ENSMUSG00000024222,Fkbp5,Fkbp5-001,14.881712867665064,1.0323132419891587e-10,Up,NA
ENSMUST00000034562.8,ENSMUSG00000032060,Cryab,Cryab-201,4.932745908592297,1.1190615832857339e-10,Up,NA
ENSMUST00000048790.6,ENSMUSG00000033361,Prrg3,Prrg3-001,3.8924872777036885,1.6412811227137221e-10,Up,NA
ENSMUST00000204617.2,ENSMUSG00000009394,Syn2,Syn2-003,7.723883286037981,1.9580490108834588e-10,Up,NA
ENSMUST00000106373.7,ENSMUSG00000030711,Sult1a1,Sult1a1-001,3.873507037682547,3.3101435301183727e-10,Up,NA
ENSMUST00000019386.9,ENSMUSG00000005251,Ripk4,Ripk4-001,6.429619713244654,4.280246243341683e-10,Up,NA
ENSMUST00000016338.14,ENSMUSG00000016194,Hsd11b1,Hsd11b1-002,6.337777911410822,7.05007222651806e-10,Up,Lipid metabolism
ENSMUST00000033739.4,ENSMUSG00000031373,Car5b,Car5b-001,3.630646708993431,7.123952098936423e-10,Up,NA
ENSMUST00000028307.8,ENSMUSG00000026938,Fcna,Fcna-001,9.521736265321914,1.0951408506462626e-9,Up,NA
ENSMUST00000110689.4,ENSMUSG00000079105,C7,C7-201,4.354658524696756,1.9800997697759373e-9,Up,NA
ENSMUST00000020885.12,ENSMUSG00000020570,Sypl,Sypl-002,1.6316422361585774,4.461447729892448e-9,Up,NA
ENSMUST00000033050.4,ENSMUSG00000030787,Lyve1,Lyve1-201,11.990377880032376,4.461447729892448e-9,Up,NA
ENSMUST00000084512.10,ENSMUSG00000065954,Tacc1,Tacc1-202,1.663631069428393,6.489341153863038e-9,Up,NA
ENSMUST00000020702.10,ENSMUSG00000020427,Igfbp3,Igfbp3-001,4.060666406170111,7.121025309547646e-9,Up,NA
ENSMUST00000165067.8,ENSMUSG00000035948,Acss3,Acss3-201,2.7059717481656334,7.572145820860931e-9,Up,NA
ENSMUST00000019962.14,ENSMUSG00000019818,Cd164,Cd164-001,1.7967279722888678,8.706876886269715e-9,Up,NA
ENSMUST00000108492.8,ENSMUSG00000004328,Hif3a,Hif3a-002,8.63301672563501,1.0503720344355216e-8,Up,NA
ENSMUST00000190641.6,ENSMUSG00000038065,Mturn,Mturn-001,2.8603816988829496,1.474389697409297e-8,Up,NA
ENSMUST00000099139.8,ENSMUSG00000040043,Rbms2,Rbms2-202,2.2022183097116845,2.9267483137930503e-8,Up,NA
ENSMUST00000084117.12,ENSMUSG00000028980,H6pd,H6pd-002,1.8268943263243995,3.6570482661718474e-8,Up,NA
ENSMUST00000071718.11,ENSMUSG00000026701,Prdx6,Prdx6-001,1.9832186476218956,5.0593049613293935e-8,Up,NA
ENSMUST00000023840.6,ENSMUSG00000023078,Cxcl13,Cxcl13-001,43.96866202925047,5.118110294102723e-8,Up,NA
ENSMUST00000064580.13,ENSMUSG00000030108,Slc6a13,Slc6a13-001,5.523773909215856,5.573823225465587e-8,Up,NA
ENSMUST00000038695.5,ENSMUSG00000040724,Kcna2,Kcna2-001,3.405908797158449,5.6557606090131826e-8,Up,NA
ENSMUST00000069789.11,ENSMUSG00000059201,Lep,Lep-001,6.6687220572310455,5.6557606090131826e-8,Up,Lipid metabolism
ENSMUST00000038770.3,ENSMUSG00000039646,Vasn,Vasn-001,2.8274919749164793,6.336813094799017e-8,Up,NA
ENSMUST00000030677.6,ENSMUSG00000028862,Map3k6,Map3k6-001,3.016007230015177,7.819982444578457e-8,Up,NA
ENSMUST00000033030.13,ENSMUSG00000030770,Parva,Parva-001,2.0592628699069566,8.10868785412939e-8,Up,NA
ENSMUST00000032476.10,ENSMUSG00000003153,Slc2a3,Slc2a3-001,4.426675965035972,8.220162488593862e-8,Up,NA
ENSMUST00000191104.6,ENSMUSG00000055322,Tns1,Tns1-008,1.671922020402743,9.541799956451268e-8,Up,NA
ENSMUST00000039064.7,ENSMUSG00000035184,Fam124a,Fam124a-001,2.3252215724497516,1.04925747029357e-7,Up,NA
ENSMUST00000073150.5,ENSMUSG00000021846,Peli2,Peli2-201,1.6328953986547992,1.1258433783477828e-7,Up,NA
ENSMUST00000024829.6,ENSMUSG00000024030,Abcg1,Abcg1-001,2.6316750015491475,1.229116848689262e-7,Up,NA
ENSMUST00000168574.8,ENSMUSG00000045658,Pid1,Pid1-001,1.7649349546225417,1.2692063266888296e-7,Up,NA
ENSMUST00000003313.8,ENSMUSG00000003228,Grk5,Grk5-201,2.1164282912413634,1.3117157001969654e-7,Up,NA
ENSMUST00000109728.7,ENSMUSG00000027488,Snta1,Snta1-001,2.3610704807950604,1.6270254718964983e-7,Up,NA
ENSMUST00000003620.12,ENSMUSG00000003526,Prodh,Prodh-002,3.6088054802305325,1.949214211838206e-7,Up,NA
ENSMUST00000216391.2,NA,NA,NA,3.6088054802305325,1.949214211838206e-7,Up,NA
ENSMUST00000022595.7,ENSMUSG00000022018,Rgcc,Rgcc-001,1.5886576280940534,2.0300359744029448e-7,Up,NA
ENSMUST00000149569.8,ENSMUSG00000033576,Apol6,Apol6-001,2.204620355297929,2.1877989208577718e-7,Up,NA
ENSMUST00000113856.7,ENSMUSG00000062609,Kcnj15,Kcnj15-201,28.9871539364269,2.398920494313764e-7,Up,NA
ENSMUST00000020188.12,ENSMUSG00000020009,Ifngr1,Ifngr1-001,2.278060383378021,2.398920494313764e-7,Up,NA
ENSMUST00000048121.12,ENSMUSG00000041794,Myrip,Myrip-001,2.9099087308280165,2.713334974085311e-7,Up,NA
ENSMUST00000025561.7,ENSMUSG00000024659,Anxa1,Anxa1-001,2.4336514135335743,3.2740563238141277e-7,Up,NA
ENSMUST00000108883.9,ENSMUSG00000018340,Anxa6,Anxa6-001,1.531799315812522,3.818023937734409e-7,Up,NA
ENSMUST00000041008.9,ENSMUSG00000033373,Fntb,Fntb-001,1.7930930092543182,3.8799511509192017e-7,Up,NA
ENSMUST00000025549.13,ENSMUSG00000024646,Cyb5a,Cyb5a-005,1.5588211294439593,4.08310766205224e-7,Up,NA
ENSMUST00000101426.10,ENSMUSG00000023367,Tmem176a,Tmem176a-001,3.0132894616342165,4.227857881772389e-7,Up,NA
ENSMUST00000118317.7,ENSMUSG00000008730,Hipk1,Hipk1-001,1.8261070012015457,4.3266709845040583e-7,Up,NA
ENSMUST00000069451.10,ENSMUSG00000055737,Ghr,Ghr-005,2.211238864810491,4.745333336801053e-7,Up,NA
ENSMUST00000134030.7,ENSMUSG00000042641,Rgsl1,Rgsl1-002,15.005654839630822,4.7581248377363704e-7,Up,NA
ENSMUST00000040523.8,ENSMUSG00000036545,Adamts2,Adamts2-001,1.6446099929464166,6.630426075250258e-7,Up,NA
ENSMUST00000159365.7,ENSMUSG00000045875,Adra1a,Adra1a-001,2.3834978766852055,7.64651457586035e-7,Up,NA
ENSMUST00000036564.7,ENSMUSG00000039760,Il22ra2,Il22ra2-001,16.38354090957009,7.64651457586035e-7,Up,NA
ENSMUST00000040320.9,ENSMUSG00000033039,Micall1,Micall1-201,2.53829131795729,7.87660228547706e-7,Up,NA
ENSMUST00000045224.13,ENSMUSG00000038007,Acer2,Acer2-001,2.1414610109545937,7.986871546405786e-7,Up,NA
ENSMUST00000033723.3,ENSMUSG00000031357,Syap1,Syap1-001,1.717622466295249,8.509195238128291e-7,Up,NA
ENSMUST00000171629.1,ENSMUSG00000045094,Arhgef37,Arhgef37-201,4.205295212549087,9.094927614659204e-7,Up,NA
ENSMUST00000041804.7,ENSMUSG00000038970,Lmtk2,Lmtk2-001,1.5525280200972642,1.002472732029767e-6,Up,NA
ENSMUST00000074694.6,ENSMUSG00000057614,Gnai1,Gnai1-001,2.2100766306910105,1.0053788070754694e-6,Up,NA
ENSMUST00000112902.7,ENSMUSG00000026749,Nek6,Nek6-002,2.9328394010226986,1.0328015708513952e-6,Up,NA
ENSMUST00000054920.4,ENSMUSG00000046312,AI464131,AI464131-001,1.501261260781276,1.1389065176043193e-6,Up,NA
ENSMUST00000121820.8,ENSMUSG00000058297,Spock2,Spock2-001,2.4597765325807606,1.1518771343088924e-6,Up,NA
ENSMUST00000033289.5,ENSMUSG00000030987,Stim1,Stim1-201,1.5023697857232412,1.182145444087498e-6,Up,NA
ENSMUST00000022082.7,ENSMUSG00000021591,Glrx,Glrx-001,1.8973793090321294,1.41276329293161e-6,Up,NA
ENSMUST00000149816.7,ENSMUSG00000029772,Ahcyl2,Ahcyl2-003,2.4094854331704623,1.460578899894264e-6,Up,NA
ENSMUST00000078139.12,ENSMUSG00000028207,Asph,Asph-001,22.334542883551464,1.5666301308655681e-6,Up,NA
ENSMUST00000097281.2,ENSMUSG00000039414,Heatr5b,Heatr5b-201,1.603243533221737,1.7071101617052795e-6,Up,NA
ENSMUST00000109157.1,ENSMUSG00000047907,Tshz2,Tshz2-002,1.542540334491992,1.7559218813794325e-6,Up,NA
ENSMUST00000066529.4,ENSMUSG00000022206,Npr3,Npr3-201,2.793461889790607,1.7559218813794325e-6,Up,NA
ENSMUST00000039197.8,ENSMUSG00000039865,Slc44a3,Slc44a3-001,1.765193737606943,1.8714861519140814e-6,Up,NA
ENSMUST00000054294.6,ENSMUSG00000044674,Fzd1,Fzd1-001,1.7417296921862144,1.8714861519140814e-6,Up,NA
ENSMUST00000027974.6,ENSMUSG00000026663,Atf6,Atf6-001,1.4567445692860046,1.8756099486110178e-6,Up,NA
ENSMUST00000024860.7,ENSMUSG00000024065,Ehd3,Ehd3-001,2.5923127090377855,1.9316641864578014e-6,Up,NA
ENSMUST00000035804.7,ENSMUSG00000033022,Cdo1,Cdo1-201,1.5074337835934073,2.1606630564660457e-6,Up,NA
ENSMUST00000026886.7,ENSMUSG00000025780,Itih5,Itih5-001,1.7522699639546602,2.1606630564660457e-6,Up,NA
ENSMUST00000099112.3,ENSMUSG00000025348,Itga7,Itga7-201,2.094280900693112,2.25629963593779e-6,Up,NA
ENSMUST00000107258.8,ENSMUSG00000028402,Mpdz,Mpdz-010,1.7872322576864017,2.3744956019773726e-6,Up,NA
ENSMUST00000033169.8,ENSMUSG00000030878,Cdr2,Cdr2-001,2.124376559340062,2.476016836364324e-6,Up,NA
ENSMUST00000154394.1,ENSMUSG00000074771,Ankef1,Ankef1-007,2.1395731089680705,2.505044149322665e-6,Up,NA
ENSMUST00000172148.1,ENSMUSG00000007480,Mc5r,Mc5r-201,10.666583294023186,2.59978780332007e-6,Up,NA
