target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000023829.6,ENSMUSG00000023067,Cdkn1a,Cdkn1a-001,10.467360356771009,2.3368845706874675,2.5978996272906636e-8,1.088734460385876e-36,Up
ENSMUST00000071718.11,ENSMUSG00000026701,Prdx6,Prdx6-001,3.4089759087949147,1.2200181104974726,2.5978996272906636e-8,2.14647593647031e-37,Up
ENSMUST00000020702.10,ENSMUSG00000020427,Igfbp3,Igfbp3-001,5.4922937827302585,1.7091207865135534,2.5978996272906636e-8,5.431358336722411e-37,Up
ENSMUST00000171629.1,ENSMUSG00000045094,Arhgef37,Arhgef37-201,6.027441659637842,1.8403771304481447,9.17076677530078e-8,8.35259098896202e-31,Up
ENSMUST00000094227.9,ENSMUSG00000070465,Gm9696,Gm9696-002,20.98134517192016,2.9959311764386616,9.551324966351045e-8,2.059675602883831e-29,Up
ENSMUST00000033050.4,ENSMUSG00000030787,Lyve1,Lyve1-201,8.35165913721739,2.078867882423262,5.254876265760034e-7,2.5907909994839992e-23,Up
ENSMUST00000151137.7,ENSMUSG00000030695,Aldoa,Aldoa-005,5.342465941328781,1.618398171826768,6.088525055812291e-7,3.0906191997010313e-22,Up
ENSMUST00000030127.12,ENSMUSG00000028420,Tmem38b,Tmem38b-001,2.3264525763057637,0.8246902395251792,6.088525055812291e-7,3.655365357846418e-22,Up
ENSMUST00000028307.8,ENSMUSG00000026938,Fcna,Fcna-001,7.3794007368307595,1.954834622371306,6.413930285297215e-7,9.36877656367316e-21,Up
ENSMUST00000125490.7,ENSMUSG00000030022,Adamts9,Adamts9-002,4.523991552812012,1.4805482982416467,6.413930285297215e-7,5.773121403585915e-15,Up
ENSMUST00000047028.8,ENSMUSG00000042363,Lgalsl,Lgalsl-001,2.138363240891241,0.7405247531684582,6.413930285297215e-7,9.637211283508658e-19,Up
ENSMUST00000048790.6,ENSMUSG00000033361,Prrg3,Prrg3-001,4.189282195278173,1.4305501614501612,6.413930285297215e-7,9.192265287337304e-21,Up
ENSMUST00000021239.6,ENSMUSG00000020869,Lrrc59,Lrrc59-001,2.0911921758388323,0.7097841467826169,6.591657140950442e-7,6.158628390537022e-16,Up
ENSMUST00000197188.4,ENSMUSG00000029501,Ankle2,Ankle2-002,416.78859794380276,5.015290809528879,7.536164508094588e-7,2.6069708399982246e-12,Up
ENSMUST00000144600.7,ENSMUSG00000023092,Fhl1,Fhl1-008,5.4286714593165835,1.7165862256265183,9.073926766628542e-7,1.8052436229834005e-19,Up
ENSMUST00000155707.2,ENSMUSG00000017466,Timp2,Timp2-002,43.58810312404504,4.935534055089421,1.0563318432572278e-6,5.936835269459239e-19,Up
ENSMUST00000048678.6,ENSMUSG00000033105,Lss,Lss-001,6.059233880999659,1.69218848916329,1.24176622275149e-6,2.1671765007370413e-18,Up
ENSMUST00000058092.7,ENSMUSG00000050276,Mrgprg,Mrgprg-201,70.23561201144646,3.9705094944015435,1.24176622275149e-6,1.9884182546644815e-18,Up
ENSMUST00000041133.9,ENSMUSG00000036136,Fam110c,Fam110c-201,3.70656495697419,1.2786369348123692,1.544203266700903e-6,1.2481836837312263e-17,Up
ENSMUST00000121676.7,ENSMUSG00000025934,Gsta3,Gsta3-002,3.358223108090771,1.2305922438355819,2.1871797726230773e-6,8.071912786821869e-17,Up
ENSMUST00000033289.5,ENSMUSG00000030987,Stim1,Stim1-201,1.9910248167532096,0.6953175200875192,2.401261446152457e-6,5.486271907906628e-15,Up
