target_id,fc,lrt_qval,wt_qval,Direction
Prdx6,3.0563841163759293,2.0570500094040772e-39,3.4872349126355164e-111,Up
Fhl1,3.407324717617013,2.8537818712427163e-30,1.7793653499585094e-55,Up
Egfl7,0.4150966431787349,3.802540085000716e-25,4.309524588638714e-43,Down
Fasn,4.441184105512123,2.4475608158448135e-22,4.309570907905258e-37,Up
Aldoa,2.023491273717892,1.6651662106373737e-21,4.566970429524344e-41,Up
Acly,5.3144930649400735,9.577236953900957e-19,8.96807752768208e-28,Up
Acss2,4.871738346587883,2.437494985445332e-18,1.2559271359050498e-23,Up
Gsta3,2.714679088504756,3.520073756883202e-18,1.0797944926238707e-39,Up
Nnat,0.31618224151097996,5.559681292665026e-17,6.632266496223075e-22,Down
Igfbp3,5.5401445538362895,2.6333220618076156e-16,7.027705065153788e-48,Up
H2-T23,0.52590661753886625,2.6333220618076156e-16,2.82286338968754e-28,Down
Tmem176b,1.8337609616088992,7.116182152615005e-16,2.478395475447385e-27,Up
Cxcl12,0.43929480195723497,2.351707190889951e-15,9.779287347268904e-28,Down
Slc25a10,1.8866636460264277,2.655655201800072e-15,4.013285238894048e-21,Up
Prtn3,0.19456881535148024,2.655655201800072e-15,5.652453846183515e-21,Down
H2-Q7,0.34597450018543596,4.2330464064342015e-15,2.478395475447385e-27,Down
H2-Q4,0.37404323902508835,4.2330464064342015e-15,1.0142737396628332e-41,Down
Adamts9,1.7925956848843319,6.861158695055796e-15,4.722979423304005e-24,Up
Psmb8,0.39049696259839206,1.5036697809371844e-14,1.4299221197714576e-27,Down
Cdkn1a,10.376773634053295,2.744998458794673e-14,2.3141982548745522e-42,Up
Gm9696,20.251524305671392,1.6848387977893572e-13,6.95118064507656e-38,Up
Aldh1l1,2.359588966765906,1.6848387977893572e-13,1.7213461715551434e-24,Up
H2-Aa,0.25284246238946567,2.0265635589546784e-13,2.757049432822587e-22,Down
Art3,0.5174028605813613,2.3095144993955475e-13,1.0413048377348871e-20,Down
Comt,1.974034678204759,4.654425121600226e-13,2.3405792829031254e-16,Up
Srsf1,0.7988499544154556,5.778029476487689e-13,4.631591956321663e-12,Down
Per3,0.356778013046162,6.871643403975406e-13,8.972480402653014e-20,Down
Rbm28,1.8082560803962127,1.0002878825947285e-12,4.780076274218417e-18,Up
Tsc22d3,2.0373613832365582,1.0669708846931861e-12,3.270838557040922e-19,Up
Pgd,2.449470663757088,1.1799533365688747e-12,9.09286802556318e-19,Up
Acaca,2.979692341112385,1.6781331502847622e-12,1.6992550446320854e-15,Up
Spaca6,0.6854295861810056,2.555016759702258e-12,2.0950662967404898e-13,Down
Ankrd40,1.594217752269252,2.983558166837178e-12,9.214058061573584e-17,Up
Lss,2.8075167847797644,3.111978800382215e-12,5.758823102943524e-24,Up
Dnajc7,0.7289453941986701,4.053207478605558e-12,6.188043191599652e-12,Down
Sf1,0.8453213569403525,4.5065621653119364e-12,4.6886509513058485e-5,Down
Mkln1,1.0962091578115012,4.878126055105241e-12,2.625121077969298e-10,Up
Fus,0.7591574395839265,8.219919557592716e-12,4.673365689712865e-10,Down
Dcst1,0.3838680895986344,8.683549756075827e-12,4.560088873407812e-24,Down
Fmo1,1.575390043287008,8.899073129441514e-12,1.0840003977164839e-17,Up
Uba7,0.518312311866207,1.1259272793882673e-11,1.0744685322021266e-14,Down
Syn2,2.847235633359614,2.4419865188538328e-11,1.500538883823906e-18,Up
Sept4,0.5173041652398397,2.8852937929358697e-11,6.093340015085208e-14,Down
Dapk1,1.7162866120427085,3.584560608581813e-11,2.5701981182766524e-19,Up
Lrpap1,2.5190773380899154,3.584560608581813e-11,1.7646907384062345e-17,Up
Immt,1.331411465202468,3.97426205903973e-11,1.7167107174840657e-10,Up
Srsf5,0.6918789551852563,4.182608161775174e-11,4.707220277186265e-11,Down
Adora1,1.8200505646956022,5.4662587197209864e-11,2.9579124976442406e-18,Up
Ghr,1.5207795091410954,5.797877953845234e-11,4.975917801059383e-12,Up
Cd74,0.315814670784071,8.8344342458969e-11,3.8590011521780144e-20,Down
Nme2,1.5917101235469404,1.9421899530718399e-10,1.078514034901363e-14,Up
Ccdc80,1.211810245727726,2.4332912698944543e-10,1.6498373821359003e-13,Up
Snrk,1.317646984530895,2.6929973494007464e-10,7.767261208702323e-12,Up
Trp53inp2,2.112310625308392,2.9383802753037805e-10,1.976060321311523e-13,Up
Xaf1,0.5461561213477373,3.1256221893211445e-10,1.667254582038089e-12,Down
H2-K1,0.6620367842176075,3.3730627355388956e-10,2.002377817955762e-15,Down
Ewsr1,0.8324676997829751,3.4565969182198843e-10,7.253371371946631e-9,Down
Son,0.937273727583382,4.72474222197042e-10,1.06201517319365e-7,Down
Asph,1.6928970338274212,5.016154435250222e-10,2.5357591962219872e-11,Up
H2-Ab1,0.25564398312249015,5.077947934009517e-10,9.36831563723627e-23,Down
Psmb9,0.4322569406122962,5.077947934009517e-10,2.1111693149679714e-14,Down
Plgrkt,0.7668549088146213,5.178143380793512e-10,1.0270224205438843e-9,Down
Clk1,0.6918315635612127,5.285469752639492e-10,8.681093042404528e-11,Down
Fcna,7.324110629502947,5.598512280501161e-10,1.2505781127303401e-23,Up
Rrbp1,1.0554289508805654,8.018610917200373e-10,1.4348472503194363e-11,Up
Vamp5,0.561046389813744,9.133570054042621e-10,1.450566874260457e-9,Down
