ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,rank,zscore
BP,GO:0007005,mitochondrion organization,229/4747,436/19395,3.921951064052878e-37,2.415921855456573e-33,1.589422273326693e-33,98496/22035/29816/20847/12176/27395/12390/70556/83408/12865/66525/20520/66400/12856/67472/13179/66379/54673/11937/66272/67841/20463/73078/68943/74244/407785/194908/595136/65114/14245/76559/56428/68018/15108/14004/68375/27397/30056/21855/12048/14629/68332/68342/230895/68202/69875/75406/76854/68512/66278/68197/57436/18412/208643/67130/72287/12043/54405/66218/26926/27377/235180/104130/52639/223696/12568/68198/114874/56486/14297/12050/67443/70316/15525/229211/18952/76614/192652/12034/107197/56384/53333/13043/108155/11740/56322/17527/66152/56046/227197/30055/329015/23922/12539/382985/66377/67844/70478/67067/230649/70772/14102/75788/68653/67530/171543/74781/225887/66043/67184/67384/67414/320528/230935/66541/67264/66046/380773/66075/67044/16000/51800/20656/66865/71361/69104/74006/74143/67713/66091/114896/65111/72759/234847/93757/15510/11757/56016/76178/75219/15519/403187/66734/11983/338359/69821/70827/66629/71701/103172/21780/19823/12028/20848/11651/72795/192287/74142/55948/66840/66592/68316/30954/66072/56330/68020/214952/21856/26401/52469/18181/12322/13819/216821/216805/56208/73694/24071/230075/66148/26420/67900/15194/53600/17258/15251/67526/20787/66098/66437/66495/66916/12684/66169/67391/52538/381760/17991/239555/67267/12866/11977/606496/66706/59040/69597/237781/73689/15277/19053/18673/26949/12177/74682/16542/170731/17158/67453/67811/12018/11545/75734/68002/66824/71648/69089/108888/69923/67952,229,1,0.5354677055778567
BP,GO:0019693,ribose phosphate metabolic process,203/4747,428/19395,1.7999463706126164e-25,5.5438348214868585e-22,3.6472597509781964e-22,15483/100198/98496/433256/70456/11637/103988/104158/70556/100705/12865/66925/98660/71743/21803/228033/66576/73724/15488/13808/20463/11565/68943/407785/270166/20185/66355/171210/56428/68375/56248/12048/57423/53893/80914/22272/71207/22247/11964/20216/107476/68197/11474/23917/229665/18640/66945/18573/66414/12858/27402/15452/66218/11674/238871/11814/21991/106564/66416/21881/11848/16548/11636/14297/109674/12499/67054/107197/23959/104215/108155/79059/56012/13350/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/20860/72900/58805/66972/18293/12859/14381/27425/80752/11957/268566/110095/104111/67126/11821/75735/241113/216739/67530/225887/66043/67414/66885/67528/66171/11946/67264/71679/16000/108099/13382/56360/12861/66646/11949/68695/74006/74143/20280/56421/14679/12867/17319/14635/26430/104110/269523/269614/11983/11931/17995/66383/104112/103172/20848/66454/226646/66592/225913/66072/14433/56451/227731/55936/216805/55951/15360/84682/20916/21351/18604/51797/18605/15254/78330/230075/102060/19164/66148/68837/78038/329910/11958/15251/66588/170789/67153/14081/11966/74114/52538/83429/14104/67267/12866/11977/110446/16434/67914/20917/228026/68087/18648/15277/28080/23972/14430/22273/11545/12974/12862/14904/67059/60525/17434/110208/230103/17855/208715,203,2,1.8434135499072732
BP,GO:0009259,ribonucleotide metabolic process,194/4747,411/19395,4.463866780846026e-24,9.165806456670507e-21,6.030135826756912e-21,98496/433256/70456/11637/103988/104158/70556/100705/12865/66925/98660/71743/21803/228033/66576/73724/15488/13808/20463/11565/68943/407785/270166/20185/66355/171210/56428/68375/56248/12048/57423/53893/80914/22272/71207/22247/11964/20216/107476/68197/11474/23917/229665/18640/66945/18573/66414/12858/27402/15452/66218/11674/238871/11814/21991/106564/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/104215/108155/79059/56012/13350/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/20860/72900/58805/66972/18293/12859/27425/80752/11957/268566/104111/67126/11821/75735/241113/216739/67530/225887/66043/67414/66885/67528/11946/67264/71679/16000/108099/13382/56360/12861/11949/68695/74006/74143/20280/56421/14679/12867/17319/14635/26430/104110/269523/269614/11983/11931/17995/66383/104112/103172/20848/66454/226646/66592/225913/66072/14433/56451/227731/55936/216805/55951/15360/84682/20916/18604/51797/18605/15254/78330/230075/102060/19164/66148/68837/78038/329910/11958/15251/66588/170789/67153/14081/11966/74114/52538/83429/14104/67267/12866/11977/110446/16434/67914/20917/228026/68087/18648/15277/28080/23972/14430/22273/11545/12974/12862/14904/67059/60525/17434/230103/17855/208715,194,3,0.8632769823694904
BP,GO:0006163,purine nucleotide metabolic process,197/4747,424/19395,2.14354006279155e-23,3.301051696698987e-20,2.1717445373019653e-20,98496/433256/70456/11637/56045/103988/104158/70556/100705/12865/66925/23962/98660/71743/21803/228033/66576/73724/15488/13808/20463/11565/68943/18127/407785/270166/20185/66355/171210/56428/68375/56248/12048/57423/53893/22272/71207/11964/20216/107476/68197/11474/23917/229665/18640/66945/18573/66414/12858/27402/15452/66218/11674/238871/11814/21991/106564/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/104215/108155/79059/56012/13350/16337/18126/108147/12857/66445/14751/11534/52815/11947/14923/66152/227197/20860/72900/58805/66972/18293/12859/27425/80752/11957/268566/104111/67126/11821/75735/241113/216739/67530/225887/66043/67414/66885/67528/11946/67264/71679/246730/16000/108099/13382/56360/12861/11486/11949/68695/74006/74143/20280/56421/14679/12867/17319/14635/26430/104110/269523/269614/11983/11931/17995/66383/104112/103172/20848/66454/226646/66592/225913/66072/14433/56451/227731/216805/55951/15360/84682/20916/18604/18605/15254/78330/230075/102060/19164/66148/68837/78038/27369/329910/11958/15251/170789/14081/11966/74114/52538/83429/14104/67267/665563/12866/11977/110446/16434/67914/20917/228026/68087/18648/15277/28080/23972/14430/22273/11545/12974/12862/14904/67059/60525/17434/230103/17855/208715,197,4,0.15379156298021626
BP,GO:0009150,purine ribonucleotide metabolic process,188/4747,401/19395,6.094186096149178e-23,7.508037270455786e-20,4.939498204247229e-20,98496/433256/70456/11637/103988/104158/70556/100705/12865/66925/98660/71743/21803/228033/66576/73724/15488/13808/20463/11565/68943/407785/270166/20185/66355/171210/56428/68375/56248/12048/57423/53893/22272/71207/11964/20216/107476/68197/11474/23917/229665/18640/66945/18573/66414/12858/27402/15452/66218/11674/238871/11814/21991/106564/66416/11848/16548/11636/14297/109674/12499/67054/107197/23959/104215/108155/79059/56012/13350/16337/108147/12857/66445/14751/52815/11947/14923/66152/227197/20860/72900/58805/66972/18293/12859/27425/80752/11957/268566/104111/67126/11821/75735/241113/216739/67530/225887/66043/67414/66885/67528/11946/67264/71679/16000/108099/13382/56360/12861/11949/68695/74006/74143/20280/56421/14679/12867/17319/14635/26430/104110/269523/269614/11983/11931/17995/66383/104112/103172/20848/66454/226646/66592/225913/66072/14433/56451/227731/216805/55951/15360/84682/20916/18604/18605/15254/78330/230075/102060/19164/66148/68837/78038/329910/11958/15251/170789/14081/11966/74114/52538/83429/14104/67267/12866/11977/110446/16434/67914/20917/228026/68087/18648/15277/28080/23972/14430/22273/11545/12974/12862/14904/67059/60525/17434/230103/17855/208715,188,5,0.6578580641604705
BP,GO:0009141,nucleoside triphosphate metabolic process,143/4747,277/19395,1.153646682428803e-22,1.1844105939602377e-19,7.792174960264722e-20,98496/11637/56045/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/11964/68197/11474/23917/18640/66945/66414/12858/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/107197/104215/108155/79059/56012/16337/12857/66445/14751/11534/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/382985/11957/268566/67126/241113/67530/110074/225887/66043/67414/11946/67264/22169/71679/16000/108099/13382/12861/11486/11949/74006/74143/56421/14679/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/56451/227731/55936/216805/84682/51797/18605/78330/230075/102060/19164/66148/68837/27369/11958/15251/66588/11966/83429/237336/66422/67267/12866/11977/21915/16434/67914/18648/15277/28080/14430/22273/11545/12862/14904/67059/17434,143,6,-0.03580574370197165
BP,GO:0072521,purine-containing compound metabolic process,206/4747,466/19395,3.704230115485309e-21,3.259722501627072e-18,2.1445542773862317e-18,98496/433256/74340/107227/70456/269378/11637/56045/103988/104158/70556/100705/12865/66925/23962/98660/71743/21803/228033/22436/66576/73724/15488/13808/20463/11565/68943/18127/407785/270166/20185/66355/171210/56428/66902/68375/56248/12048/57423/53893/22272/71207/11964/20216/107476/68197/11474/23917/229665/18640/66945/18573/66414/12858/27402/15452/66218/11674/238871/11814/21991/106564/66416/11848/229709/16548/11636/14297/109674/12499/14544/67054/107197/23959/104215/108155/79059/56012/13350/16337/18126/108147/12857/66445/14751/11534/270685/52815/11947/14923/66152/227197/20860/72900/58805/66972/18293/12859/27425/80752/11957/268566/104111/67126/11821/75735/241113/216739/67530/225887/66043/67414/66885/67528/11946/67264/71679/246730/16000/108099/13382/56360/12861/11486/11949/68695/74006/74143/20280/56421/14679/12867/17319/14635/26430/104110/269523/269614/11983/11931/17995/66383/104112/103172/20848/66454/226646/66592/225913/66072/14433/56451/227731/216805/55951/15360/84682/20916/18604/18605/15254/78330/230075/102060/19164/66148/68837/78038/27369/20425/329910/11958/15251/170789/14081/11966/74114/52538/83429/14104/67267/665563/12866/11977/110446/16434/67914/20917/228026/68087/18648/15277/28080/23972/14430/22273/11545/12974/12862/14904/67059/60525/17434/230103/17855/208715,206,7,0.839286909062253
BP,GO:0006914,autophagy,174/4747,374/19395,6.982502337417139e-21,4.779134933165509e-18,3.144167719187835e-18,16846/60440/11549/230379/52331/12176/13033/69635/240752/20128/56458/69903/13179/237782/13690/15900/54673/67841/68943/74244/217379/118449/76559/54396/72512/59027/22320/319934/72244/16151/230895/15944/11350/56484/57436/18412/208643/20620/76681/72287/12043/54170/56085/67474/110213/211134/235180/52639/226407/76983/18858/110147/56486/320706/67443/66320/98732/192652/13043/210376/20869/225020/329015/12539/244962/19349/18475/271564/11881/29869/75788/54197/641340/171543/74781/78610/320528/16784/67300/56424/19877/11883/245670/18711/68728/71712/51800/68505/218035/54473/80743/100502841/74006/83669/14679/223453/117150/18145/73158/66734/15289/269523/11983/19324/217893/20848/11651/107045/66840/66615/338364/22590/75909/216805/56208/74302/353047/225131/19164/68053/68837/15194/15251/75608/94232/60599/67526/67727/225326/20787/11975/67154/18709/66437/56717/217695/17966/66169/67391/64383/666468/14083/68441/235439/606496/22224/226418/18718/76308/18760/72739/24088/15277/107607/18704/67773/12177/12752/18786/104009/16542/170731/100226/27060/67811/98402/214459/193670/66824/71648/72179/116733/75669/20479,174,8.5,5.736521175299603
BP,GO:0061919,process utilizing autophagic mechanism,174/4747,374/19395,6.982502337417139e-21,4.779134933165509e-18,3.144167719187835e-18,16846/60440/11549/230379/52331/12176/13033/69635/240752/20128/56458/69903/13179/237782/13690/15900/54673/67841/68943/74244/217379/118449/76559/54396/72512/59027/22320/319934/72244/16151/230895/15944/11350/56484/57436/18412/208643/20620/76681/72287/12043/54170/56085/67474/110213/211134/235180/52639/226407/76983/18858/110147/56486/320706/67443/66320/98732/192652/13043/210376/20869/225020/329015/12539/244962/19349/18475/271564/11881/29869/75788/54197/641340/171543/74781/78610/320528/16784/67300/56424/19877/11883/245670/18711/68728/71712/51800/68505/218035/54473/80743/100502841/74006/83669/14679/223453/117150/18145/73158/66734/15289/269523/11983/19324/217893/20848/11651/107045/66840/66615/338364/22590/75909/216805/56208/74302/353047/225131/19164/68053/68837/15194/15251/75608/94232/60599/67526/67727/225326/20787/11975/67154/18709/66437/56717/217695/17966/66169/67391/64383/666468/14083/68441/235439/606496/22224/226418/18718/76308/18760/72739/24088/15277/107607/18704/67773/12177/12752/18786/104009/16542/170731/100226/27060/67811/98402/214459/193670/66824/71648/72179/116733/75669/20479,174,8.5,5.736521175299603
BP,GO:0009144,purine nucleoside triphosphate metabolic process,133/4747,261/19395,1.600853824447987e-20,9.861259558599599e-18,6.487670762236579e-18,98496/11637/56045/103988/70556/12865/66925/98660/21803/228033/66576/13808/20463/68943/407785/270166/20185/56428/68375/56248/12048/57423/53893/22272/11964/68197/11474/23917/18640/66945/66414/12858/66218/11674/11814/21991/66416/11848/16548/11636/14297/109674/12499/107197/104215/108155/79059/56012/16337/12857/66445/14751/11534/52815/11947/14923/66152/227197/72900/58805/66972/18293/12859/27425/80752/11957/268566/67126/241113/67530/225887/66043/67414/11946/67264/71679/16000/108099/13382/12861/11486/11949/74006/74143/56421/14679/12867/17319/14635/26430/269523/11983/11931/17995/66383/103172/20848/66454/226646/66592/225913/66072/14433/227731/216805/84682/18605/78330/230075/102060/19164/66148/68837/27369/11958/15251/11966/83429/67267/12866/11977/16434/67914/18648/15277/28080/14430/22273/11545/12862/14904/67059/17434,133,10,-0.22161505654593533
